Height/km,Air Density/ kg/km^3
631,7.366307E-05
631.5,7.316292E-05
632,7.266663E-05
632.5,7.217417E-05
633,7.168545E-05
633.5,7.120052E-05
634,7.071929E-05
634.5,7.024177E-05
635,6.976787E-05
635.5,6.929764E-05
636,6.883100E-05
636.5,6.836791E-05
637,6.790838E-05
637.5,6.745237E-05
638,6.699985E-05
638.5,6.655080E-05
639,6.610513E-05
639.5,6.566291E-05
640,6.522405E-05
640.5,6.478855E-05
641,6.435636E-05
641.5,6.392746E-05
642,6.350182E-05
642.5,6.307944E-05
643,6.266028E-05
643.5,6.224432E-05
644,6.183150E-05
644.5,6.142184E-05
645,6.101528E-05
645.5,6.061178E-05
646,6.021139E-05
646.5,5.981402E-05
647,5.941969E-05
647.5,5.902834E-05
648,5.863996E-05
648.5,5.825451E-05
649,5.787198E-05
649.5,5.749232E-05
650,5.711558E-05
650.5,5.674169E-05
651,5.637061E-05
651.5,5.600234E-05
652,5.563685E-05
652.5,5.527412E-05
653,5.491412E-05
653.5,5.455685E-05
654,5.420229E-05
654.5,5.385038E-05
655,5.350113E-05
655.5,5.315451E-05
656,5.281048E-05
656.5,5.246906E-05
657,5.213021E-05
657.5,5.179391E-05
658,5.146013E-05
658.5,5.112885E-05
659,5.080007E-05
659.5,5.047376E-05
660,5.014990E-05
660.5,4.982844E-05
661,4.950943E-05
661.5,4.919280E-05
662,4.887853E-05
662.5,4.856660E-05
663,4.825703E-05
663.5,4.794978E-05
664,4.764478E-05
664.5,4.734211E-05
665,4.704166E-05
665.5,4.674350E-05
666,4.644753E-05
666.5,4.615377E-05
667,4.586221E-05
667.5,4.557280E-05
668,4.528558E-05
668.5,4.500047E-05
669,4.471750E-05
669.5,4.443661E-05
670,4.415784E-05
670.5,4.388111E-05
671,4.360646E-05
671.5,4.333383E-05
672,4.306322E-05
672.5,4.279464E-05
673,4.252803E-05
673.5,4.226340E-05
674,4.200074E-05
674.5,4.174001E-05
675,4.148121E-05
675.5,4.122431E-05
676,4.096935E-05
676.5,4.071622E-05
677,4.046500E-05
677.5,4.021564E-05
678,3.996807E-05
678.5,3.972237E-05
679,3.947844E-05
679.5,3.923635E-05
680,3.899599E-05
680.5,3.875746E-05
681,3.852063E-05
681.5,3.828558E-05
682,3.805222E-05
682.5,3.782057E-05
683,3.759066E-05
683.5,3.736240E-05
684,3.713585E-05
684.5,3.691093E-05
685,3.668765E-05
685.5,3.646603E-05
686,3.624600E-05
686.5,3.602759E-05
687,3.581081E-05
687.5,3.559558E-05
688,3.538191E-05
688.5,3.516981E-05
689,3.495927E-05
689.5,3.475026E-05
690,3.454276E-05
690.5,3.433676E-05
691,3.413227E-05
691.5,3.392927E-05
692,3.372774E-05
692.5,3.352770E-05
693,3.332908E-05
693.5,3.313191E-05
694,3.293617E-05
694.5,3.274185E-05
695,3.254894E-05
695.5,3.235742E-05
696,3.216728E-05
696.5,3.197852E-05
697,3.179110E-05
697.5,3.160506E-05
698,3.142037E-05
698.5,3.123700E-05
699,3.105496E-05
699.5,3.087422E-05
700,3.069476E-05
700.5,3.051663E-05
701,3.033977E-05
701.5,3.016419E-05
702,2.998984E-05
702.5,2.981676E-05
703,2.964494E-05
703.5,2.947431E-05
704,2.930494E-05
704.5,2.913676E-05
705,2.896980E-05
705.5,2.880404E-05
706,2.863944E-05
706.5,2.847604E-05
707,2.831378E-05
707.5,2.815268E-05
708,2.799276E-05
708.5,2.783395E-05
709,2.767630E-05
709.5,2.751974E-05
710,2.736430E-05
710.5,2.720997E-05
711,2.705675E-05
711.5,2.690460E-05
712,2.675353E-05
712.5,2.660353E-05
713,2.645460E-05
713.5,2.630675E-05
714,2.615991E-05
714.5,2.601412E-05
715,2.586936E-05
715.5,2.572562E-05
716,2.558290E-05
716.5,2.544118E-05
717,2.530047E-05
717.5,2.516072E-05
718,2.502198E-05
718.5,2.488421E-05
719,2.474742E-05
719.5,2.461159E-05
720,2.447669E-05
720.5,2.434276E-05
721,2.420977E-05
721.5,2.407769E-05
722,2.394655E-05
722.5,2.381634E-05
723,2.368701E-05
723.5,2.355861E-05
724,2.343109E-05
724.5,2.330448E-05
725,2.317873E-05
725.5,2.305386E-05
726,2.292988E-05
726.5,2.280674E-05
727,2.268446E-05
727.5,2.256305E-05
728,2.244246E-05
728.5,2.232272E-05
729,2.220379E-05
729.5,2.208570E-05
730,2.196845E-05
730.5,2.185198E-05
731,2.173632E-05
731.5,2.162147E-05
732,2.150740E-05
732.5,2.139411E-05
733,2.128162E-05
733.5,2.116990E-05
734,2.105895E-05
734.5,2.094876E-05
735,2.083933E-05
735.5,2.073065E-05
736,2.062272E-05
736.5,2.051551E-05
737,2.040906E-05
737.5,2.030334E-05
738,2.019833E-05
738.5,2.009405E-05
739,1.999046E-05
739.5,1.988758E-05
740,1.978543E-05
740.5,1.968396E-05
741,1.958318E-05
741.5,1.948309E-05
742,1.938368E-05
742.5,1.928494E-05
743,1.918687E-05
743.5,1.908947E-05
744,1.899273E-05
744.5,1.889664E-05
745,1.880121E-05
745.5,1.870642E-05
746,1.861228E-05
746.5,1.851877E-05
747,1.842589E-05
747.5,1.833364E-05
748,1.824199E-05
748.5,1.815098E-05
749,1.806058E-05
749.5,1.797077E-05
750,1.788159E-05
750.5,1.779298E-05
751,1.770499E-05
751.5,1.761757E-05
752,1.753074E-05
752.5,1.744450E-05
753,1.735883E-05
753.5,1.727373E-05
754,1.718920E-05
754.5,1.710524E-05
755,1.702183E-05
755.5,1.693897E-05
756,1.685667E-05
756.5,1.677491E-05
757,1.669370E-05
757.5,1.661303E-05
758,1.653289E-05
758.5,1.645327E-05
759,1.637419E-05
759.5,1.629563E-05
760,1.621760E-05
760.5,1.614006E-05
761,1.606305E-05
761.5,1.598653E-05
762,1.591053E-05
762.5,1.583502E-05
763,1.576002E-05
763.5,1.568549E-05
764,1.561146E-05
764.5,1.553791E-05
765,1.546485E-05
765.5,1.539227E-05
766,1.532015E-05
766.5,1.524851E-05
767,1.517733E-05
767.5,1.510662E-05
768,1.503637E-05
768.5,1.496657E-05
769,1.489723E-05
769.5,1.482834E-05
770,1.475990E-05
770.5,1.469189E-05
771,1.462433E-05
771.5,1.455720E-05
772,1.449051E-05
772.5,1.442425E-05
773,1.435842E-05
773.5,1.429301E-05
774,1.422801E-05
774.5,1.416345E-05
775,1.409929E-05
775.5,1.403555E-05
776,1.397221E-05
776.5,1.390927E-05
777,1.384675E-05
777.5,1.378462E-05
778,1.372288E-05
778.5,1.366154E-05
779,1.360059E-05
779.5,1.354003E-05
780,1.347986E-05
780.5,1.342006E-05
781,1.336065E-05
781.5,1.330161E-05
782,1.324295E-05
782.5,1.318465E-05
783,1.312672E-05
783.5,1.306917E-05
784,1.301197E-05
784.5,1.295514E-05
785,1.289866E-05
785.5,1.284253E-05
786,1.278676E-05
786.5,1.273134E-05
787,1.267627E-05
787.5,1.262155E-05
788,1.256715E-05
788.5,1.251311E-05
789,1.245940E-05
789.5,1.240602E-05
790,1.235298E-05
790.5,1.230027E-05
791,1.224789E-05
791.5,1.219583E-05
792,1.214409E-05
792.5,1.209267E-05
793,1.204158E-05
793.5,1.199079E-05
794,1.194032E-05
794.5,1.189017E-05
795,1.184032E-05
795.5,1.179077E-05
796,1.174153E-05
796.5,1.169260E-05
797,1.164397E-05
797.5,1.159562E-05
798,1.154758E-05
798.5,1.149983E-05
799,1.145238E-05
799.5,1.140521E-05
800,1.135833E-05
800.5,1.131174E-05
801,1.126543E-05
801.5,1.121940E-05
802,1.117364E-05
802.5,1.112817E-05
803,1.108297E-05
803.5,1.103804E-05
804,1.099338E-05
804.5,1.094900E-05
805,1.090489E-05
805.5,1.086103E-05
806,1.081744E-05
806.5,1.077411E-05
807,1.073104E-05
807.5,1.068823E-05
808,1.064568E-05
808.5,1.060338E-05
809,1.056133E-05
809.5,1.051953E-05
810,1.047798E-05
810.5,1.043668E-05
811,1.039562E-05
811.5,1.035481E-05
812,1.031424E-05
812.5,1.027390E-05
813,1.023381E-05
813.5,1.019395E-05
814,1.015433E-05
814.5,1.011494E-05
815,1.007578E-05
815.5,1.003685E-05
816,9.998153E-06
816.5,9.959678E-06
817,9.921430E-06
817.5,9.883403E-06
818,9.845601E-06
818.5,9.808019E-06
819,9.770656E-06
819.5,9.733505E-06
820,9.696575E-06
820.5,9.659860E-06
821,9.623351E-06
821.5,9.587055E-06
822,9.550972E-06
822.5,9.515095E-06
823,9.479424E-06
823.5,9.443965E-06
824,9.408704E-06
824.5,9.373644E-06
825,9.338789E-06
825.5,9.304125E-06
826,9.269665E-06
826.5,9.235404E-06
827,9.201338E-06
827.5,9.167460E-06
828,9.133781E-06
828.5,9.100288E-06
829,9.066985E-06
829.5,9.033876E-06
830,9.000950E-06
830.5,8.968210E-06
831,8.935655E-06
831.5,8.903284E-06
832,8.871095E-06
832.5,8.839087E-06
833,8.807258E-06
833.5,8.775604E-06
834,8.744134E-06
834.5,8.712832E-06
835,8.681712E-06
835.5,8.650758E-06
836,8.619979E-06
836.5,8.589377E-06
837,8.558937E-06
837.5,8.528669E-06
838,8.498566E-06
838.5,8.468633E-06
839,8.438863E-06
839.5,8.409252E-06
840,8.379811E-06
840.5,8.350532E-06
841,8.321408E-06
841.5,8.292448E-06
842,8.263642E-06
842.5,8.234997E-06
843,8.206510E-06
843.5,8.178173E-06
844,8.149993E-06
844.5,8.121966E-06
845,8.094090E-06
845.5,8.066363E-06
846,8.038789E-06
846.5,8.011363E-06
847,7.984083E-06
847.5,7.956954E-06
848,7.929966E-06
848.5,7.903127E-06
849,7.876429E-06
849.5,7.849874E-06
850,7.823462E-06
850.5,7.797191E-06
851,7.771061E-06
851.5,7.745067E-06
852,7.719213E-06
852.5,7.693494E-06
853,7.667913E-06
853.5,7.642467E-06
854,7.617156E-06
854.5,7.591977E-06
855,7.566931E-06
855.5,7.542019E-06
856,7.517235E-06
856.5,7.492581E-06
857,7.468057E-06
857.5,7.443657E-06
858,7.419389E-06
858.5,7.395248E-06
859,7.371228E-06
859.5,7.347337E-06
860,7.323566E-06
860.5,7.299922E-06
861,7.276398E-06
861.5,7.252995E-06
862,7.229713E-06
862.5,7.206550E-06
863,7.183508E-06
863.5,7.160584E-06
864,7.137773E-06
864.5,7.115084E-06
865,7.092509E-06
865.5,7.070048E-06
866,7.047700E-06
866.5,7.025470E-06
867,7.003349E-06
867.5,6.981341E-06
868,6.959443E-06
868.5,6.937657E-06
869,6.915982E-06
869.5,6.894416E-06
870,6.872954E-06
870.5,6.851604E-06
871,6.830358E-06
871.5,6.809221E-06
872,6.788187E-06
872.5,6.767259E-06
873,6.746434E-06
873.5,6.725713E-06
874,6.705095E-06
874.5,6.684579E-06
875,6.664165E-06
875.5,6.643849E-06
876,6.623638E-06
876.5,6.603524E-06
877,6.583508E-06
877.5,6.563588E-06
878,6.543769E-06
878.5,6.524047E-06
879,6.504421E-06
879.5,6.484886E-06
880,6.465449E-06
880.5,6.446107E-06
881,6.426861E-06
881.5,6.407703E-06
882,6.388641E-06
882.5,6.369670E-06
883,6.350789E-06
883.5,6.332002E-06
884,6.313302E-06
884.5,6.294692E-06
885,6.276169E-06
885.5,6.257738E-06
886,6.239394E-06
886.5,6.221139E-06
887,6.202966E-06
887.5,6.184884E-06
888,6.166884E-06
888.5,6.148969E-06
889,6.131139E-06
889.5,6.113393E-06
890,6.095731E-06
890.5,6.078153E-06
891,6.060657E-06
891.5,6.043240E-06
892,6.025907E-06
892.5,6.008652E-06
893,5.991481E-06
893.5,5.974388E-06
894,5.957374E-06
894.5,5.940439E-06
895,5.923580E-06
895.5,5.906802E-06
896,5.890101E-06
896.5,5.873474E-06
897,5.856926E-06
897.5,5.840451E-06
898,5.824056E-06
898.5,5.807732E-06
899,5.791482E-06
899.5,5.775307E-06
900,5.759205E-06
900.5,5.743177E-06
901,5.727222E-06
901.5,5.711336E-06
902,5.695524E-06
902.5,5.679782E-06
903,5.664112E-06
903.5,5.648513E-06
904,5.632982E-06
904.5,5.617521E-06
905,5.602128E-06
905.5,5.586804E-06
906,5.571549E-06
906.5,5.556360E-06
907,5.541240E-06
907.5,5.526186E-06
908,5.511200E-06
908.5,5.496277E-06
909,5.481422E-06
909.5,5.466631E-06
910,5.451904E-06
910.5,5.437244E-06
911,5.422645E-06
911.5,5.408112E-06
912,5.393640E-06
912.5,5.379234E-06
913,5.364888E-06
913.5,5.350603E-06
914,5.336381E-06
914.5,5.322222E-06
915,5.308122E-06
915.5,5.294084E-06
916,5.280105E-06
916.5,5.266186E-06
917,5.252325E-06
917.5,5.238526E-06
918,5.224783E-06
918.5,5.211100E-06
919,5.197474E-06
919.5,5.183908E-06
920,5.170397E-06
920.5,5.156942E-06
921,5.143546E-06
921.5,5.130205E-06
922,5.116922E-06
922.5,5.103693E-06
923,5.090520E-06
923.5,5.077401E-06
924,5.064336E-06
924.5,5.051327E-06
925,5.038372E-06
925.5,5.025468E-06
926,5.012620E-06
926.5,4.999824E-06
927,4.987081E-06
927.5,4.974389E-06
928,4.961750E-06
928.5,4.949164E-06
929,4.936629E-06
929.5,4.924145E-06
930,4.911711E-06
930.5,4.899329E-06
931,4.886995E-06
931.5,4.874711E-06
932,4.862479E-06
932.5,4.850295E-06
933,4.838162E-06
933.5,4.826074E-06
934,4.814037E-06
934.5,4.802048E-06
935,4.790106E-06
935.5,4.778213E-06
936,4.766367E-06
936.5,4.754567E-06
937,4.742815E-06
937.5,4.731111E-06
938,4.719449E-06
938.5,4.707837E-06
939,4.696269E-06
939.5,4.684747E-06
940,4.673269E-06
940.5,4.661839E-06
941,4.650451E-06
941.5,4.639108E-06
942,4.627807E-06
942.5,4.616554E-06
943,4.605343E-06
943.5,4.594174E-06
944,4.583051E-06
944.5,4.571969E-06
945,4.560929E-06
945.5,4.549933E-06
946,4.538980E-06
946.5,4.528067E-06
947,4.517195E-06
947.5,4.506366E-06
948,4.495580E-06
948.5,4.484832E-06
949,4.474127E-06
949.5,4.463460E-06
950,4.452836E-06
950.5,4.442252E-06
951,4.431706E-06
951.5,4.421199E-06
952,4.410735E-06
952.5,4.400307E-06
953,4.389919E-06
953.5,4.379571E-06
954,4.369260E-06
954.5,4.358987E-06
955,4.348753E-06
955.5,4.338557E-06
956,4.328398E-06
956.5,4.318278E-06
957,4.308194E-06
957.5,4.298148E-06
958,4.288138E-06
958.5,4.278164E-06
959,4.268227E-06
959.5,4.258328E-06
960,4.248463E-06
960.5,4.238636E-06
961,4.228842E-06
961.5,4.219085E-06
962,4.209363E-06
962.5,4.199675E-06
963,4.190024E-06
963.5,4.180408E-06
964,4.170824E-06
964.5,4.161277E-06
965,4.151762E-06
965.5,4.142282E-06
966,4.132836E-06
966.5,4.123423E-06
967,4.114044E-06
967.5,4.104698E-06
968,4.095384E-06
968.5,4.086103E-06
969,4.076856E-06
969.5,4.067642E-06
970,4.058459E-06
970.5,4.049307E-06
971,4.040189E-06
971.5,4.031104E-06
972,4.022049E-06
972.5,4.013025E-06
973,4.004033E-06
973.5,3.995072E-06
974,3.986141E-06
974.5,3.977242E-06
975,3.968375E-06
975.5,3.959537E-06
976,3.950729E-06
976.5,3.941951E-06
977,3.933204E-06
977.5,3.924487E-06
978,3.915799E-06
978.5,3.907141E-06
979,3.898512E-06
979.5,3.889912E-06
980,3.881343E-06
980.5,3.872801E-06
981,3.864288E-06
981.5,3.855804E-06
982,3.847349E-06
982.5,3.838921E-06
983,3.830524E-06
983.5,3.822153E-06
984,3.813810E-06
984.5,3.805494E-06
985,3.797208E-06
985.5,3.788948E-06
986,3.780715E-06
986.5,3.772509E-06
987,3.764331E-06
987.5,3.756181E-06
988,3.748056E-06
988.5,3.739958E-06
989,3.731887E-06
989.5,3.723842E-06
990,3.715823E-06
990.5,3.707831E-06
991,3.699865E-06
991.5,3.691924E-06
992,3.684008E-06
992.5,3.676120E-06
993,3.668257E-06
993.5,3.660419E-06
994,3.652604E-06
994.5,3.644816E-06
995,3.637054E-06
995.5,3.629316E-06
996,3.621602E-06
996.5,3.613913E-06
997,3.606249E-06
997.5,3.598608E-06
998,3.590993E-06
998.5,3.583402E-06
999,3.575834E-06
999.5,3.568290E-06
1000,3.560771E-06
