Height/km,Air Density/ kg/km^3
144.5,2.867887E+00
145,2.781215E+00
145.5,2.697910E+00
146,2.617809E+00
146.5,2.540761E+00
147,2.466622E+00
147.5,2.395257E+00
148,2.326538E+00
148.5,2.260344E+00
149,2.196561E+00
149.5,2.135079E+00
150,2.075799E+00
150.5,2.018621E+00
151,1.963454E+00
151.5,1.910211E+00
152,1.858810E+00
152.5,1.809172E+00
153,1.761222E+00
153.5,1.714891E+00
154,1.670110E+00
154.5,1.626817E+00
155,1.584949E+00
155.5,1.544451E+00
156,1.505266E+00
156.5,1.467342E+00
157,1.430630E+00
157.5,1.395082E+00
158,1.360652E+00
158.5,1.327297E+00
159,1.294977E+00
159.5,1.263652E+00
160,1.233285E+00
160.5,1.203838E+00
161,1.175279E+00
161.5,1.147574E+00
162,1.120693E+00
162.5,1.094605E+00
163,1.069281E+00
163.5,1.044695E+00
164,1.020819E+00
164.5,9.976292E-01
165,9.751008E-01
165.5,9.532113E-01
166,9.319380E-01
166.5,9.112600E-01
167,8.911568E-01
167.5,8.716094E-01
168,8.525982E-01
168.5,8.341060E-01
169,8.161150E-01
169.5,7.986087E-01
170,7.815717E-01
170.5,7.649881E-01
171,7.488435E-01
171.5,7.331236E-01
172,7.178146E-01
172.5,7.029038E-01
173,6.883785E-01
173.5,6.742265E-01
174,6.604361E-01
174.5,6.469961E-01
175,6.338957E-01
175.5,6.211244E-01
176,6.086724E-01
176.5,5.965297E-01
177,5.846872E-01
177.5,5.731359E-01
178,5.618668E-01
178.5,5.508716E-01
179,5.401425E-01
179.5,5.296719E-01
180,5.194516E-01
180.5,5.094746E-01
181,4.997341E-01
181.5,4.902231E-01
182,4.809352E-01
182.5,4.718640E-01
183,4.630034E-01
183.5,4.543474E-01
184,4.458904E-01
184.5,4.376268E-01
185,4.295514E-01
185.5,4.216588E-01
186,4.139440E-01
186.5,4.064026E-01
187,3.990294E-01
187.5,3.918201E-01
188,3.847703E-01
188.5,3.778757E-01
189,3.711322E-01
189.5,3.645358E-01
190,3.580827E-01
190.5,3.517690E-01
191,3.455913E-01
191.5,3.395459E-01
192,3.336295E-01
192.5,3.278387E-01
193,3.221703E-01
193.5,3.166213E-01
194,3.111886E-01
194.5,3.058693E-01
195,3.006604E-01
195.5,2.955595E-01
196,2.905636E-01
196.5,2.856703E-01
197,2.808768E-01
197.5,2.761811E-01
198,2.715804E-01
198.5,2.670726E-01
199,2.626555E-01
199.5,2.583267E-01
200,2.540843E-01
200.5,2.499262E-01
201,2.458503E-01
201.5,2.418547E-01
202,2.379375E-01
202.5,2.340969E-01
203,2.303312E-01
203.5,2.266385E-01
204,2.230171E-01
204.5,2.194655E-01
205,2.159820E-01
205.5,2.125651E-01
206,2.092132E-01
206.5,2.059249E-01
207,2.026987E-01
207.5,1.995333E-01
208,1.964272E-01
208.5,1.933793E-01
209,1.903879E-01
209.5,1.874523E-01
210,1.845708E-01
210.5,1.817424E-01
211,1.789660E-01
